IdComuna,p6_eb_e1,p6_eb_e6,retencion
01101,65.264,55.13,0.845
01107,94.253,60.322,0.64
01401,66.758,51.239,0.768
02101,59.197,40.135,0.678
02102,80.626,23.734,0.294
02104,58.577,30.616,0.523
02201,69.749,58.083,0.833
02203,76.426,70.915,0.928
02301,63.157,27.249,0.431
03101,68.267,69.006,1.011
03102,58.768,56.819,0.967
03103,70.458,60.865,0.864
03202,68.732,43.1,0.627
03301,65.142,62.823,0.964
03303,64.402,65.355,1.015
03304,69.485,54.894,0.79
04101,61.321,53.323,0.87
04102,62.118,48.634,0.783
04103,76.988,70.218,0.912
04106,73.235,58.249,0.795
04201,68.232,73.289,1.074
04202,62.77,43.818,0.698
04203,55.66,43.169,0.776
04301,76.365,66.19,0.867
04302,70.44,53.896,0.765
04303,72.437,59.165,0.817
04304,62.543,63.267,1.012
05101,63.803,57.796,0.906
05102,60.156,56.714,0.943
05103,63.932,56.299,0.881
05105,70.786,69.291,0.979
05107,66.983,45.335,0.677
05109,65.094,44.798,0.688
05201,67.884,42.77,0.63
05301,69.816,52.372,0.75
05302,62.762,54.263,0.865
05303,57.445,47.154,0.821
05304,69.423,51.419,0.741
05401,67.014,57.135,0.853
05402,61.564,39.524,0.642
05403,64.136,52.969,0.826
05405,61.043,54.515,0.893
05501,58.36,41.728,0.715
05502,58.753,53.656,0.913
05503,66.508,54.172,0.815
05504,58.912,63.638,1.08
05506,63.682,56.064,0.88
05601,80.604,67.594,0.839
05602,66.417,64.29,0.968
05603,63.905,54.397,0.851
05701,61.586,51.311,0.833
05702,65.9,50.337,0.764
05703,63.825,46.904,0.735
05704,61.897,49.96,0.807
05705,62.903,56.571,0.899
05706,62.533,48.668,0.778
05801,60.718,51.658,0.851
05802,54.108,52.948,0.979
05803,58.568,51.323,0.876
05804,64.624,56.979,0.882
06101,57.834,47.382,0.819
06102,74.148,66.675,0.899
06104,76.294,55.073,0.722
06105,60.013,48.525,0.809
06106,62.664,42.948,0.685
06107,69.48,48.488,0.698
06108,63.502,63.266,0.996
06109,71.309,62.931,0.883
06110,69.156,54.907,0.794
06111,67.115,60.578,0.903
06112,69.527,58.126,0.836
06113,65.843,42.893,0.651
06114,63.248,59.018,0.933
06115,70.11,61.161,0.872
06116,66.209,50.525,0.763
06117,69.185,55.581,0.803
06201,56.103,42.96,0.766
06203,71.68,40.379,0.563
06204,64.208,71.12,1.108
06205,67.884,61.638,0.908
06301,63.125,51.46,0.815
06302,60.936,60.827,0.998
06303,68.944,55.011,0.798
06304,68.188,62.499,0.917
06305,67.987,54.628,0.804
06306,69.843,59.078,0.846
06307,63.347,51.555,0.814
06308,65.811,56.287,0.855
06310,65.519,59.938,0.915
07101,62.168,63.83,1.027
07102,63.468,53.204,0.838
07103,65.069,45.117,0.693
07105,63.349,55.152,0.871
07106,64.389,58.318,0.906
07107,64.402,62.192,0.966
07109,64.501,62.3,0.966
07110,62.688,59.803,0.954
07201,60.944,62.791,1.03
07202,60.902,64.768,1.063
07301,67.866,57.383,0.846
07302,61.82,53.088,0.859
07303,67.374,62.666,0.93
07304,58.532,54.744,0.935
07305,67.465,62.857,0.932
07306,64.856,57.705,0.89
07307,67.633,65.974,0.975
07308,61.411,58.483,0.952
07401,64.825,65.803,1.015
07402,67.193,52.639,0.783
07403,64.827,68.189,1.052
07404,64.02,58.744,0.918
07405,65.913,66.152,1.004
07406,57.559,48.887,0.849
07407,65.01,57.349,0.882
07408,62.301,59.87,0.961
08101,68.167,43.756,0.642
08102,57.142,43.625,0.763
08103,62.988,52.357,0.831
08104,65.411,41.524,0.635
08105,62.688,43.781,0.698
08106,58.487,40.926,0.7
08107,60.724,49.985,0.823
08108,65.607,56.808,0.866
08109,58.424,35.236,0.603
08110,62.842,52.138,0.83
08111,58.359,54.268,0.93
08112,62.68,46.626,0.744
08201,51.348,43.211,0.842
08202,59.731,46.718,0.782
08203,58.885,35.594,0.604
08204,61.258,54.964,0.897
08205,65.591,58.745,0.896
08206,60.779,50.852,0.837
08207,66.998,61.902,0.924
08301,65.147,66.639,1.023
08303,60.765,60.341,0.993
08304,71.681,60.508,0.844
08305,57.993,52.324,0.902
08306,69.645,59.618,0.856
08307,66.502,49.125,0.739
08309,69.926,58.702,0.839
08310,69.591,58.884,0.846
08311,67.985,56.948,0.838
08312,68.513,58.272,0.851
08313,67.049,72.646,1.083
08314,67.302,63.833,0.948
09101,66.618,63.405,0.952
09102,69.877,68.667,0.983
09103,67.937,66.125,0.973
09105,63.848,62.722,0.982
09106,68.294,69.769,1.022
09107,63.392,58.475,0.922
09108,66.558,60.247,0.905
09109,65.545,63.158,0.964
09111,66.351,69.695,1.05
09112,76.448,69.512,0.909
09114,78.074,68.239,0.874
09116,70.937,59.389,0.837
09117,66.431,65.775,0.99
09118,65.552,58.02,0.885
09119,74.767,72.784,0.973
09120,72.51,62.545,0.863
09121,58.098,61.761,1.063
09201,69.63,64.51,0.926
09202,78.046,61.233,0.785
09203,72.813,66.233,0.91
09204,71.561,53.025,0.741
09205,62.85,54.462,0.867
09208,82.302,64.806,0.787
09209,71.983,58.126,0.807
09210,66.438,37.048,0.558
09211,58.439,51.868,0.888
10101,60.434,51.813,0.857
10102,61.757,72.455,1.173
10104,60.86,32.337,0.531
10105,61.241,59.62,0.974
10106,70.012,52.233,0.746
10107,60.667,47.116,0.777
10108,60.02,49.958,0.832
10109,66.891,57.398,0.858
10201,74.505,67.222,0.902
10202,65.877,73.519,1.116
10203,69.646,72.566,1.042
10205,73.344,78.823,1.075
10208,74.098,51.092,0.69
10301,63.258,53.9,0.852
10302,63.891,59.562,0.932
10303,61.594,56.235,0.913
10304,66.714,61.969,0.929
10305,72.914,59.99,0.823
10306,66.401,63.517,0.957
10307,70.481,64.155,0.91
11101,70.462,57.264,0.813
11201,60.965,39.942,0.655
12101,66.721,50.523,0.757
12401,69.113,51.965,0.752
13101,67.623,54.888,0.812
13102,71.943,57.11,0.794
13103,62.913,62.535,0.994
13104,68.163,54.175,0.795
13105,56.748,51.716,0.911
13106,67.071,61.514,0.917
13107,61.588,59.014,0.958
13108,68.541,54.964,0.802
13109,64.011,55.025,0.86
13110,65.7,56.761,0.864
13111,56.256,49.65,0.883
13112,61.735,47.69,0.772
13113,65.009,57.132,0.879
13114,60.008,55.205,0.92
13115,62.158,59.925,0.964
13116,68.055,55.405,0.814
13117,61.329,63.767,1.04
13118,66.883,60.639,0.907
13119,63.595,54.678,0.86
13120,65.157,52.881,0.812
13121,63.516,57.519,0.906
13122,61.713,59.798,0.969
13123,64.594,54.624,0.846
13124,64.14,61.221,0.954
13125,63.032,51.44,0.816
13126,61.63,49.76,0.807
13127,68.787,48.547,0.706
13128,65.706,64.646,0.984
13129,67.769,50.827,0.75
13130,67.462,55.29,0.82
13131,76.232,63.583,0.834
13201,57.045,53.52,0.938
13202,58.953,58.323,0.989
13203,69.423,49.958,0.72
13301,64.067,52.32,0.817
13302,61.392,53.88,0.878
13303,71.517,48.286,0.675
13401,63.621,54.846,0.862
13402,66.851,58.893,0.881
13403,61.467,61.107,0.994
13404,66.442,60.648,0.913
13501,70.627,64.047,0.907
13503,65.921,35.964,0.546
13504,61.015,59.078,0.968
13601,63.514,44.622,0.703
13602,70.762,62.702,0.886
13603,66.453,51.838,0.78
13604,65.161,54.867,0.842
13605,71.554,66.279,0.926
14101,70.735,43.618,0.617
14102,57.732,43.908,0.761
14103,67.877,56.097,0.826
14106,79.642,58.749,0.738
14107,54.987,62.023,1.128
14108,64.67,63.401,0.98
14201,62.792,59.177,0.942
14202,63.745,55.98,0.878
14203,63.108,64.135,1.016
14204,85.5,67.623,0.791
15101,68.058,58.229,0.856
16101,63.907,58.4,0.914
16102,55.429,34.949,0.631
16103,58.078,54.388,0.936
16104,66.743,61.902,0.927
16105,67.417,52.335,0.776
16106,68.939,52.243,0.758
16107,58.604,51.795,0.884
16108,71.71,67.213,0.937
16109,67.302,45.406,0.675
16201,64.278,42.692,0.664
16203,68.333,49.594,0.726
16204,74.666,65.227,0.874
16301,55.984,58.636,1.047
16302,68.816,57.208,0.831
16303,57.574,57.374,0.997
16304,68.24,69.046,1.012
16305,67.287,67.213,0.999
